gene_family,n_loci_in_cds,n_assemblies_in_cds,n_proximal_loci,n_proximal_assemblies,frac_assemblies_proximal,fisher_p_vs_background,hgt_passenger_flag,gene,product,module_bin,consensus_rank_pct_mean,used_in_any_final_set
GF_00657,97,97,1,1,0.0103,0.99302,False,,amino acid ABC transporter ATP-binding protein,Transport,0.5684099165745179,True
GF_00741,99,99,1,1,0.0101,0.993,False,,NUDIX hydrolase,Other / unassigned,0.6129509003955264,True
GF_00704,102,102,1,1,0.0098,0.99661,False,,GNAT family N-acetyltransferase,Other / unassigned,0.5795020912239447,True
GF_00571,104,104,1,1,0.0096,0.9966,False,arsB,ACR3 family arsenite efflux transporter,Transport,0.4739874777192652,True
GF_01954,319,319,3,3,0.0094,0.99999,False,,photosystem II reaction center protein L,Housekeeping / lineage marker,0.3300578968746312,True
GF_01028,109,109,1,1,0.0092,0.99658,False,psbE,cytochrome b559 subunit alpha,Housekeeping / lineage marker,0.3541767996603264,True
GF_00663,109,109,1,1,0.0092,0.99658,False,rplX,50S ribosomal protein L24,Housekeeping / lineage marker,0.736670371224822,True
GF_00239,111,111,1,1,0.009,0.99657,False,,DUF4327 family protein,Stress / membrane / uncharacterized,0.5644156981523553,True
GF_02068,112,112,1,1,0.0089,0.99657,False,acnB,bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase,Other / unassigned,0.4146563160788059,True
GF_02458,447,447,4,4,0.0089,1.0,False,rpsL,30S ribosomal protein S12,Housekeeping / lineage marker,0.0512532086320397,True
GF_00206,115,115,1,1,0.0087,0.99656,False,tkt,transketolase,Other / unassigned,0.5353746920023568,True
GF_00930,115,115,1,1,0.0087,0.99656,False,,ABC transporter ATP-binding protein,Transport,0.8347221057269311,True
GF_00619,245,236,2,2,0.0085,0.99994,False,,LysR family transcriptional regulator,Regulation,0.5258609491888455,True
GF_00376,126,126,1,1,0.0079,0.99832,False,pds,15-cis-phytoene desaturase,Other / unassigned,0.5233277131207178,True
GF_00588,132,132,1,1,0.0076,0.99918,False,secG,preprotein translocase subunit SecG,Other / unassigned,0.3747293685217203,True
GF_01559,131,131,1,1,0.0076,0.99918,False,rpsG,30S ribosomal protein S7,Housekeeping / lineage marker,0.5927026995255777,True
GF_02111,134,134,1,1,0.0075,0.99918,False,prfA,peptide chain release factor 1,Other / unassigned,0.6708411734202541,True
GF_00108,138,138,1,1,0.0072,0.99918,False,map,type I methionyl aminopeptidase,Housekeeping / lineage marker,0.8331962415917877,True
GF_00066,140,140,1,1,0.0071,0.99917,False,,F0F1 ATP synthase subunit alpha,Housekeeping / lineage marker,0.6914205945749258,True
GF_01102,140,140,1,1,0.0071,0.99917,False,rpsQ,30S ribosomal protein S17,Housekeeping / lineage marker,0.6386234174450981,True
GF_00625,285,285,2,2,0.007,0.99999,False,infA,translation initiation factor IF-1,Other / unassigned,0.5999677896411524,True
GF_00865,145,145,1,1,0.0069,0.99917,False,gloA,lactoylglutathione lyase,Other / unassigned,0.627597313231244,True
GF_00863,289,289,2,2,0.0069,0.99999,False,rplN,50S ribosomal protein L14,Housekeeping / lineage marker,0.3730609925363754,True
GF_00337,291,291,2,2,0.0069,0.99999,False,thrC,threonine synthase,Other / unassigned,0.3095604952298595,True
GF_00694,292,292,2,2,0.0068,0.99999,False,rplE,50S ribosomal protein L5,Housekeeping / lineage marker,0.2915137574294065,True
GF_01136,155,155,1,1,0.0065,0.99959,False,,photosystem II reaction center protein J,Housekeeping / lineage marker,0.3645882385176507,True
GF_01566,159,157,1,1,0.0064,0.99959,False,,GDP-L-fucose synthase family protein,Other / unassigned,0.7326621716270042,True
GF_00390,164,164,1,1,0.0061,0.9998,False,,S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase,Other / unassigned,0.5159215600723899,True
GF_00112,168,168,1,1,0.006,0.9998,False,,radical SAM protein,Other / unassigned,0.6210428142200971,True
GF_00979,175,175,1,1,0.0057,0.9998,False,glyA,serine hydroxymethyltransferase,Other / unassigned,0.4704445314497001,True
GF_00915,174,174,1,1,0.0057,0.9998,False,,ABC-F family ATP-binding cassette domain-containing protein,Other / unassigned,0.4264032731701196,True
GF_02395,185,185,1,1,0.0054,0.9999,False,bchI,magnesium chelatase ATPase subunit I,Other / unassigned,0.7718497342911622,True
GF_00360,449,448,2,2,0.0045,1.0,False,rpsK,30S ribosomal protein S11,Housekeeping / lineage marker,0.0426209567148008,True
GF_02028,248,247,1,1,0.004,0.99999,False,rpsM,30S ribosomal protein S13,Housekeeping / lineage marker,0.311216324767492,True
GF_02162,309,308,1,1,0.0032,1.0,False,rpmJ,50S ribosomal protein L36,Housekeeping / lineage marker,0.363710586010994,True
GF_01609,93,93,0,0,0.0,1.0,False,,hypothetical protein,Stress / membrane / uncharacterized,0.40772549402166,True
GF_00052,53,53,0,0,0.0,1.0,False,,ribosome-binding factor A,Other / unassigned,0.2694145502589259,True
GF_00208,100,100,0,0,0.0,1.0,False,,NAD(P)/FAD-dependent oxidoreductase,Other / unassigned,0.4593054199690096,True
GF_00176,108,108,0,0,0.0,1.0,False,rplM,50S ribosomal protein L13,Housekeeping / lineage marker,0.5395587736031057,True
GF_00202,55,55,0,0,0.0,1.0,False,,DUF3593 domain-containing protein,Stress / membrane / uncharacterized,0.1803169157628719,True
GF_00970,63,63,0,0,0.0,1.0,False,,photosystem I reaction center subunit IV,Housekeeping / lineage marker,0.4924484743333832,True
GF_00099,50,49,0,0,0.0,1.0,False,,type II toxin-antitoxin system HicB family antitoxin,Other / unassigned,0.6891516925593809,True
GF_00185,62,62,0,0,0.0,1.0,False,fbp,class 1 fructose-bisphosphatase,Other / unassigned,0.5779214470249266,True
GF_01867,56,56,0,0,0.0,1.0,False,,ABA4-like family protein,Other / unassigned,0.3816671113973355,True
GF_01670,169,169,0,0,0.0,1.0,False,rpsE,30S ribosomal protein S5,Housekeeping / lineage marker,0.5272551099158577,True
GF_00146,41,41,0,0,0.0,1.0,False,ndhA,NADH dehydrogenase subunit 1,Respiration & bioenergetics,0.5941738404637582,True
GF_02515,72,72,0,0,0.0,1.0,False,,DUF2499 domain-containing protein,Stress / membrane / uncharacterized,0.1908341685865429,True
GF_01668,126,126,0,0,0.0,1.0,False,clpS,ATP-dependent Clp protease adapter ClpS,Other / unassigned,0.601135568279539,True
GF_00216,40,40,0,0,0.0,1.0,False,,carbon-nitrogen hydrolase family protein,Other / unassigned,0.3293628973816312,True
GF_00824,53,53,0,0,0.0,1.0,False,,NIL domain-containing protein,Other / unassigned,0.5102901268947356,True
GF_02394,54,54,0,0,0.0,1.0,False,hisD,histidinol dehydrogenase,Other / unassigned,0.3647608201589379,True
GF_00969,118,118,0,0,0.0,1.0,False,aspA,aspartate ammonia-lyase,Other / unassigned,0.6544249324056237,True
GF_01949,84,84,0,0,0.0,1.0,False,,Na(+)/H(+) antiporter subunit B,Other / unassigned,0.4193253365605845,True
GF_00829,48,48,0,0,0.0,1.0,False,,NUDIX hydrolase,Other / unassigned,0.6615670959972709,True
GF_00859,40,40,0,0,0.0,1.0,False,zwf,glucose-6-phosphate dehydrogenase,Other / unassigned,0.4580616129866074,True
GF_01649,99,99,0,0,0.0,1.0,False,,phosphomannose isomerase type II C-terminal cupin domain,Other / unassigned,0.5648880877740253,True
GF_00691,42,41,0,0,0.0,1.0,False,kdpB,potassium-transporting ATPase subunit KdpB,Transport,0.6154378600818324,True
GF_01965,117,117,0,0,0.0,1.0,False,,response regulator transcription factor,Regulation,0.5926834116293166,True
GF_01925,69,69,0,0,0.0,1.0,False,,DUF3593 domain-containing protein,Stress / membrane / uncharacterized,0.6633119157989414,True
GF_01736,43,43,0,0,0.0,1.0,False,urtE,urea ABC transporter ATP-binding subunit UrtE,Transport,0.3874179000147656,True
GF_00644,40,40,0,0,0.0,1.0,False,ndhK,photosynthetic/respiratory NAD(P)H-quinone oxidoreductase subunit K,Respiration & bioenergetics,0.4183265487480856,True
GF_00910,71,71,0,0,0.0,1.0,False,,hypothetical protein,Stress / membrane / uncharacterized,0.3283984471202701,True
GF_02113,163,163,0,0,0.0,1.0,False,rpsH,30S ribosomal protein S8,Housekeeping / lineage marker,0.3353395357414177,True
GF_01222,95,95,0,0,0.0,1.0,False,,Dps family protein,Other / unassigned,0.5339888198366053,True
GF_01823,55,55,0,0,0.0,1.0,False,,creatininase family protein,Other / unassigned,0.2460063763628154,True
GF_00584,107,107,0,0,0.0,1.0,False,,iron-sulfur cluster assembly accessory protein,Metallocluster & Fe-S biogenesis,0.2617722094970969,True
GF_01503,106,106,0,0,0.0,1.0,False,ilvN,acetolactate synthase small subunit,Other / unassigned,0.3639930709440737,True
GF_00558,140,140,0,0,0.0,1.0,False,rpmE,50S ribosomal protein L31,Housekeeping / lineage marker,0.6154556826999682,True
GF_01701,100,100,0,0,0.0,1.0,False,dusB,tRNA dihydrouridine synthase DusB,Other / unassigned,0.3797655236599617,True
GF_01700,69,69,0,0,0.0,1.0,False,,type II toxin-antitoxin system HicB family antitoxin,Other / unassigned,0.5236011178024061,True
GF_02212,134,134,0,0,0.0,1.0,False,,DUF3318 domain-containing protein,Stress / membrane / uncharacterized,0.7440742045684606,True
GF_00945,69,69,0,0,0.0,1.0,False,,amino acid ABC transporter ATP-binding protein,Transport,0.3925123405006731,True
GF_02360,63,63,0,0,0.0,1.0,False,psbE,cytochrome b559 subunit alpha,Housekeeping / lineage marker,0.6108856811263198,True
GF_00330,208,208,0,0,0.0,1.0,False,,rod shape-determining protein,Other / unassigned,0.7120510231842242,True
GF_00957,53,53,0,0,0.0,1.0,False,hpnJ,hopanoid biosynthesis associated radical SAM protein HpnJ,Other / unassigned,0.4074847433673739,True
GF_00406,51,51,0,0,0.0,1.0,False,rpsQ,30S ribosomal protein S17,Housekeeping / lineage marker,0.3862550514444879,True
